Level,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24
"gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA",72,131,241,233,131,312,266,247,83,27,17,326,46,226,144,234,148,9,68,191,8,154,323,29
"gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA",17,83,158,179,226,39,20,65,334,119,61,67,57,60,316,316,4,171,41,573,48,81,50,457
"gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA",309,2279,198,66,8,358,254,895,126,644,145,515,412,443,126,832,118,61,108,798,78,91,130,385
"gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA",72,174,22,518,214,109,531,122,23,196,266,1095,29,414,39,20,22,36,520,88,74,112,481,225
"gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA",294,428,289,800,669,761,204,772,1,45,747,4,92,177,1489,299,1078,224,1112,531,319,1052,882,74
"gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA",443,106,352,260,497,305,27,77,65,113,24,208,156,88,436,36,130,30,28,203,414,571,182,15
"gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA",161,445,863,69,50,62,141,126,152,17,74,85,165,111,139,237,133,372,118,217,88,262,114,58
"gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA",400,127,21,421,714,77,674,223,588,144,255,169,373,900,401,374,567,185,2,56,9,62,161,164
"gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA",129,65,414,360,14,467,814,454,434,203,80,32,185,468,78,394,403,176,151,777,178,399,190,213
"gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA",71,769,159,4519,796,180,242,17,166,281,314,496,920,87,129,858,238,731,337,221,202,124,402,257
"gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA",737,117,526,178,547,148,910,148,75,735,2167,239,63,1914,273,533,89,471,293,166,282,229,125,519
"gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA",778,657,1570,2646,2689,251,2084,83,372,1180,1167,1266,78,208,987,2836,46,541,35,1375,3064,624,4650,1575
"gi|251823729|ref|NM_001163079.1| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 2, mRNA",381,479,148,1,170,419,1871,193,2437,881,437,188,85,654,631,71,809,304,498,130,1324,543,495,175
"gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA",1439,2529,838,1591,221,963,219,302,359,847,1425,1396,409,963,3844,218,37,423,2449,830,1809,1382,406,1454
"gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA",661,34,140,309,11,8,471,658,284,349,8,979,43,161,414,672,16,221,449,1818,701,166,327,492
"gi|51093855|ref|NM_033070.2| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 2, mRNA",237,956,216,317,56,349,228,136,127,208,978,326,184,280,183,368,23,282,764,245,650,104,497,840
"gi|213512664|ref|NR_024483.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 1, non-coding RNA",9,10,248,6,176,47,57,49,225,140,110,3,114,43,151,346,26,106,33,345,168,2,308,301
"gi|213512645|ref|NR_024482.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 2, non-coding RNA",39,96,207,125,26,153,27,198,76,95,79,58,122,5,58,150,40,14,23,16,20,81,63,31
"gi|29029551|ref|NM_177405.1| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 2, mRNA",317,302,100,685,1356,689,693,376,1726,1053,869,124,251,9,101,1987,1192,401,64,363,339,94,262,249
"gi|29029549|ref|NM_017424.2| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 1, mRNA",486,729,1472,1707,1042,753,549,494,500,986,109,1187,797,355,231,198,38,258,556,417,412,1688,345,287
"gi|345525396|ref|NR_038398.2| Homo sapiens cat eye syndrome chromosome region, candidate 3 (non-protein coding) (CECR3), non-coding RNA",126,148,35,124,299,29,76,465,215,450,426,768,103,617,131,149,29,274,162,653,180,431,162,512
"gi|270132321|ref|NM_031413.3| Homo sapiens cat eye syndrome chromosome region, candidate 2 (CECR2), mRNA",87,1517,2359,170,627,762,522,164,533,307,572,285,231,5759,31,677,630,2429,440,1275,1863,940,766,2509
"gi|13899341|ref|NM_031481.1| Homo sapiens solute carrier family 25 (glutamate carrier), member 18 (SLC25A18), mRNA",792,561,164,185,596,5,98,231,87,144,95,86,667,118,8,542,1923,1637,449,2157,1028,679,971,390
"gi|87159815|ref|NM_001039366.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 2, mRNA",58,1224,24,469,154,99,417,24,64,564,630,337,102,40,203,41,574,252,290,574,110,200,553,151
"gi|87159817|ref|NM_001039367.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 3, mRNA",80,147,944,306,503,806,44,154,671,498,5,850,65,177,502,57,590,232,13,358,164,123,9,161
"gi|87159814|ref|NM_001696.3| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 1, mRNA",476,64,231,57,43,505,1093,123,126,189,221,26,41,217,22,637,21,263,608,132,204,97,136,13
"gi|398707252|ref|NM_015367.3| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 1, mRNA",3224,3430,767,1629,2517,311,812,276,1227,46,11047,1877,168,114,131,375,1553,656,313,1052,1314,410,3969,2166
"gi|398775379|ref|NM_001270731.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 7, mRNA",109,24,3568,1328,1609,1466,1163,263,328,321,1848,887,88,897,46,3992,570,2561,211,103,351,388,936,393
"gi|398775908|ref|NM_001270734.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 10, mRNA",1109,1890,177,753,1419,569,1665,1150,116,500,958,1006,1151,44,2423,24,2710,810,3041,148,56,1297,4208,2215
"gi|398775088|ref|NM_001270729.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 5, mRNA",74,409,2045,625,2390,138,1825,2110,802,374,843,918,68,117,645,3113,6793,498,1123,39,987,3575,790,1379
"gi|398775598|ref|NM_001270732.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 8, mRNA",190,23,1090,2131,870,1293,269,1546,521,772,835,54,797,1300,654,22,166,565,784,1531,321,2063,23,1047
"gi|398777064|ref|NM_001270735.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 11, mRNA",326,77,830,229,5539,150,295,812,2483,1229,325,36,4740,616,1362,198,852,164,298,350,4751,2528,668,928
"gi|398774965|ref|NM_001270728.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 4, mRNA",829,1047,97,1924,54,55,220,3750,1056,2425,1661,180,2410,846,216,1405,536,961,184,1600,365,20,112,2296
"gi|398774578|ref|NM_001270726.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 2, mRNA",770,968,288,3351,146,113,484,550,889,146,357,384,101,612,919,65,1521,1653,146,95,37,3736,2158,205
"gi|398774790|ref|NM_001270727.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 3, mRNA",11,65,3274,928,1304,161,938,1714,924,87,880,888,1201,1037,5982,853,258,1281,383,710,563,726,1228,1194
"gi|398775209|ref|NM_001270730.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 6, mRNA",27,2057,1145,1443,3026,3425,1993,803,215,644,2323,760,56,280,522,418,2352,138,161,1868,2802,369,550,74
"gi|398776358|ref|NR_073068.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 12, non-coding RNA",3156,631,133,781,1419,943,1412,128,1916,498,351,11,2505,2513,2455,315,387,1454,538,735,293,1068,138,419
"gi|398776655|ref|NR_073069.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 13, non-coding RNA",7280,267,1272,975,3301,811,11177,1659,971,3872,1570,3758,836,223,38,1165,32,324,323,2013,507,625,1832,891
"gi|398774358|ref|NM_001270733.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 9, mRNA",828,2463,608,690,119,446,37,120,779,843,1424,1676,1182,749,310,31,2070,1201,404,425,390,1188,461,1514
"gi|347300409|ref|NM_001244567.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 4, mRNA",740,167,17,197,60,143,81,931,78,288,1346,912,381,12,719,657,992,937,837,617,7,313,249,127
"gi|347300417|ref|NM_001244570.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 6, mRNA",150,359,3,87,2213,1429,527,231,646,310,587,679,422,888,244,1290,1956,534,731,135,376,498,518,11
"gi|347300412|ref|NM_197967.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 3, mRNA",659,130,330,245,31,417,358,272,971,795,133,128,1304,178,631,478,1141,94,60,840,205,393,1030,137
"gi|347300415|ref|NM_001244569.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 5, mRNA",449,36,87,764,738,125,501,193,43,892,97,179,325,6,9,351,396,1291,1646,49,191,391,16,392
"gi|347300411|ref|NM_001196.3| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 2, mRNA",910,655,49,248,433,368,5,710,58,456,673,431,63,307,112,779,691,333,152,248,76,475,1708,73
"gi|347300422|ref|NM_001244572.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 7, mRNA",698,11,222,496,26,64,1057,26,884,388,2,65,79,466,857,187,183,304,72,911,661,900,1067,2103
"gi|347300421|ref|NM_197966.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 1, mRNA",932,738,294,1164,44,317,103,159,180,56,90,854,2596,390,233,273,170,558,71,26,496,1584,1626,842
"gi|301171814|ref|NR_036168.1| Homo sapiens microRNA 3198-1 (MIR3198-1), microRNA",1,13,49,31,29,8,47,29,4,15,18,7,48,32,18,8,37,5,14,1,8,12,6,8
"gi|209862788|ref|NM_015241.2| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 1, mRNA",942,1200,3902,787,1902,618,1748,1150,933,574,619,2761,5054,3315,1726,163,507,1667,1002,1150,672,158,114,355
"gi|170172517|ref|NM_001122731.1| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 3, mRNA",734,32,150,504,42,319,777,54,1319,332,276,6,320,72,1448,636,68,362,453,52,568,1809,1334,27
"gi|209862792|ref|NM_001136004.1| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 2, mRNA",318,3310,86,3209,3304,296,954,1031,3991,18151,433,2395,1630,322,488,3891,3221,7898,1630,823,5955,375,3681,1586
"gi|262206229|ref|NR_030378.1| Homo sapiens microRNA 648 (MIR648), microRNA",24,30,35,15,4,48,1,11,7,3,102,3,5,1,3,10,18,12,36,1,7,36,18,3
"gi|212286153|ref|NR_024417.1| Homo sapiens uncharacterized LOC100192420 (FLJ41941), non-coding RNA",495,63,151,117,455,5,256,49,293,469,181,108,191,607,217,489,485,16,378,263,717,357,898,217
"gi|313482831|ref|NM_017929.5| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 1, mRNA",2304,9,1027,229,854,335,846,384,383,2147,722,134,1542,279,1076,884,292,276,215,45,1796,445,39,1121
"gi|313482833|ref|NM_001199319.1| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 3, mRNA",327,845,1845,1128,594,839,1347,244,831,266,386,1446,352,397,710,139,793,2749,908,188,5538,2761,1645,223
"gi|313482832|ref|NM_001127649.2| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 2, mRNA",226,1456,299,65,192,72,904,10,591,327,1094,203,19,2372,920,494,249,18,1017,3096,41,277,334,1550
"gi|301171365|ref|NM_018943.2| Homo sapiens tubulin, alpha 8 (TUBA8), transcript variant 1, mRNA",403,566,331,731,729,97,1132,2079,336,377,437,116,412,11,716,150,6,347,456,541,1341,197,214,954
