"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA",145.17147251397,-0.142874687351828,0.09824004437535,-1.45434265894609,0.145851328966209,0.315038870567012
"gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA",146.957159355331,-0.11875746104897,0.100345705997251,-1.18348323795961,0.236617685772896,0.446001761722649
"gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA",398.665012299467,-0.0148724082643272,0.0532424082304226,-0.279333876107977,0.779988611146208,0.893837846093729
"gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA",185.330969410128,0.0260541568785941,0.090989082680603,0.286343769065696,0.774614838006328,0.888870526612261
"gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA",418.845543075537,0.12150480512742,0.0615695484403849,1.9734561679475,0.0484436137163813,0.132354873189399
"gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA",299.897243338075,-0.070756875351946,0.0680962259680017,-1.03907190664567,0.298771295373994,0.515548964573923
"gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA",306.79091899934,0.019901496413127,0.0654216687939241,0.3042034356509,0.760972907532542,0.882036779185447
"gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA",348.681296891896,0.127544452702117,0.0672568737375774,1.8963779553562,0.0579100847388354,0.152325093954874
"gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA",275.978131325744,0.0338449367310878,0.0738708928050904,0.458163363753951,0.64683507863508,0.807883812499324
"gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA",518.277921948297,0.0313736461421506,0.0467914384970155,0.670499714261867,0.502539288537626,0.714134778448205
"gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA",543.920258162258,-0.00820995587986961,0.0432318334511513,-0.189905336518893,0.849383310631702,0.924951220830252
"gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA",1715.86816812165,0.0508768821922228,0.025299772222398,2.01096206499366,0.0443294637887608,0.121839663946355
"gi|251823729|ref|NM_001163079.1| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 2, mRNA",789.017360635544,0.0670282477441752,0.0415985048236873,1.6113138688102,0.107111329450012,0.254736270557282
"gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA",998.737769167347,0.0274594281085912,0.0354345545398601,0.774933633713448,0.438378876615474,0.662984857879744
"gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA",334.07009731903,0.0230083071758882,0.0627317284351666,0.366773046906676,0.713788314085849,0.854878400550438
"gi|51093855|ref|NM_033070.2| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 2, mRNA",355.2790640223,0.0639685929722536,0.0546327852420147,1.1708828808358,0.241645857168147,0.451794087332706
"gi|213512664|ref|NR_024483.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 1, non-coding RNA",136.240000067026,0.00145514326705856,0.0998594870485141,0.0145719080887289,0.988373710971369,0.992699197671462
"gi|213512645|ref|NR_024482.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 2, non-coding RNA",68.7341053119207,0.143603939017456,0.164060518095354,0.875310773637755,0.381404833653376,0.608921108337042
"gi|29029551|ref|NM_177405.1| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 2, mRNA",605.577265033014,-0.0126938995970763,0.0421303586988582,-0.301300534557762,0.76318533333134,0.883485669606771
"gi|29029549|ref|NM_017424.2| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 1, mRNA",1166.15720775519,-0.961043203827461,0.0309682045936373,-31.0332231538188,1.92148743598964e-211,4.40981366559622e-210
"gi|345525396|ref|NR_038398.2| Homo sapiens cat eye syndrome chromosome region, candidate 3 (non-protein coding) (CECR3), non-coding RNA",320.202994464853,0.531083086584723,0.0688267344617286,7.71623251833972,1.19818642215559e-14,4.27990325112387e-14
"gi|270132321|ref|NM_031413.3| Homo sapiens cat eye syndrome chromosome region, candidate 2 (CECR2), mRNA",1149.71995404142,0.0106375724211908,0.0365169122145158,0.291305364448703,0.770817785039393,0.887803540055824
"gi|13899341|ref|NM_031481.1| Homo sapiens solute carrier family 25 (glutamate carrier), member 18 (SLC25A18), mRNA",528.824733961753,-0.596688937046379,0.0534447619358153,-11.1645915415055,6.07698807720741e-29,2.64392182695564e-28
"gi|87159815|ref|NM_001039366.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 2, mRNA",255.429873800142,0.0518764709900185,0.0691009777897634,0.750734253686688,0.452812603995412,0.67480839361654
"gi|87159817|ref|NM_001039367.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 3, mRNA",258.080424192473,-0.0484829318178955,0.0720056221630529,-0.673321476316231,0.500742792587725,0.712685090845785
"gi|87159814|ref|NM_001696.3| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 1, mRNA",358.901244632945,-0.530354515570921,0.062285757683229,-8.51486014295888,1.66791478736744e-17,6.1491798184872e-17
"gi|398707252|ref|NM_015367.3| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 1, mRNA",1550.92688977075,-0.995666918388421,0.0283136051564009,-35.1656708104983,6.69720116300938e-271,2.27704839542319e-269
"gi|398775379|ref|NM_001270731.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 7, mRNA",980.958479130119,-0.0297800441838463,0.0411149517117678,-0.724311787901791,0.468874341686773,0.686485878259103
"gi|398775908|ref|NM_001270734.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 10, mRNA",1236.60463042743,-0.581509529678493,0.0376220106111794,-15.4566308453939,6.80667829340406e-54,4.36960186947198e-53
"gi|398775088|ref|NM_001270729.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 5, mRNA",996.181065730271,0.0970446234238014,0.0412107032507925,2.35484026645275,0.0185306693776918,0.0554109266733586
"gi|398775598|ref|NM_001270732.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 8, mRNA",956.419269418876,0.0182836848053954,0.0391956569800164,0.466472211824825,0.640877533555537,0.805925446306826
"gi|398777064|ref|NM_001270735.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 11, mRNA",955.823117084657,0.064613690348319,0.039998696702307,1.61539489221888,0.106225205665455,0.253919791077223
"gi|398774965|ref|NM_001270728.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 4, mRNA",959.366553164202,0.00435016921421345,0.0310150362579947,0.140260007372782,0.888454561398943,0.941726264469158
"gi|398774578|ref|NM_001270726.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 2, mRNA",828.597696651693,0.654511420156918,0.0451258224154065,14.504143860954,1.14051594068059e-47,6.84309564408354e-47
"gi|398774790|ref|NM_001270727.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 3, mRNA",952.905616043246,0.0214498273037155,0.0417311123103946,0.51400085250957,0.607251394634491,0.786257800105025
"gi|398775209|ref|NM_001270730.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 6, mRNA",1185.32623890374,-0.654207873166245,0.0294738863330394,-22.1961863384435,3.73855717675943e-109,4.34429808641159e-108
"gi|398776358|ref|NR_073068.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 12, non-coding RNA",1374.54778470104,-0.982084391598007,0.0365649321790095,-26.8586411370888,6.68567729420216e-159,1.20342191295639e-157
"gi|398776655|ref|NR_073069.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 13, non-coding RNA",2366.63905969059,-1.94800224050213,0.0272775606577604,-71.4140925188603,0,0
"gi|398774358|ref|NM_001270733.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 9, mRNA",876.088690636675,-0.0232461279816368,0.0372553240290518,-0.623967945185751,0.532648636699229,0.739745005279716
"gi|347300409|ref|NM_001244567.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 4, mRNA",425.989116860125,0.0822399218327959,0.0576132657581055,1.42744766766195,0.15345089934376,0.327194620678789
"gi|347300417|ref|NM_001244570.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 6, mRNA",386.50500732936,-0.0340212832738869,0.0680257582491581,-0.500123543632943,0.616988089279928,0.791787213729892
"gi|347300412|ref|NM_197967.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 3, mRNA",427.199300115803,0.104986763298111,0.0524707120857996,2.00086408445224,0.0454070389759194,0.124428841134012
"gi|347300415|ref|NM_001244569.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 5, mRNA",412.741230339897,-0.0274086072067235,0.0611407898922138,-0.4482867698478,0.653946247610661,0.810714124000204
"gi|347300411|ref|NM_001196.3| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 2, mRNA",554.368640704472,-0.527127980110377,0.0503445580839024,-10.4704063392886,1.18134811624553e-25,4.863128119791e-25
"gi|347300422|ref|NM_001244572.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 7, mRNA",471.221389832067,-0.13478197882673,0.0574385660251934,-2.34654149909684,0.0189485559729202,0.0561121754294861
"gi|347300421|ref|NM_197966.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 1, mRNA",503.933621112079,0.0724330646716932,0.0609090024640618,1.18920129605523,0.234360464640886,0.444510137480028
"gi|301171814|ref|NR_036168.1| Homo sapiens microRNA 3198-1 (MIR3198-1), microRNA",15.9572047485504,-0.162690646220776,0.285870759631813,-0.569105586140792,0.569284487645542,0.758495151899286
"gi|209862788|ref|NM_015241.2| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 1, mRNA",1877.54300980723,0.0204684219495149,0.0241740530587041,0.846710392328897,0.397156564738329,0.622166768651513
"gi|170172517|ref|NM_001122731.1| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 3, mRNA",688.026507601018,0.038326285986015,0.0513503127558175,0.7463690857788,0.455444488556081,0.677630535647459
"gi|209862792|ref|NM_001136004.1| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 2, mRNA",2408.07693030955,-0.980747417700608,0.0247414555405197,-39.6398431811908,0,0
"gi|262206229|ref|NR_030378.1| Homo sapiens microRNA 648 (MIR648), microRNA",16.0233562018404,-0.312008285077117,0.283125452347715,-1.10201425724851,0.270455473378737,0.486819852081727
"gi|212286153|ref|NR_024417.1| Homo sapiens uncharacterized LOC100192420 (FLJ41941), non-coding RNA",361.573879537754,0.972285120058644,0.0607738113835904,15.9984226416507,1.31053536735146e-57,8.65519041171684e-57
"gi|313482831|ref|NM_017929.5| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 1, mRNA",798.675358009682,-0.00127678084170454,0.0358634431376685,-0.0356011785260935,0.971600368590986,0.982873763235911
"gi|313482833|ref|NM_001199319.1| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 3, mRNA",783.27132635893,0.0282202304410924,0.0386175535645957,0.730761734916438,0.464924699939741,0.685073634903181
"gi|313482832|ref|NM_001127649.2| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 2, mRNA",837.127065068782,0.0213801098485666,0.043861494440895,0.48744599610889,0.625942304550737,0.795865700245951
"gi|301171365|ref|NM_018943.2| Homo sapiens tubulin, alpha 8 (TUBA8), transcript variant 1, mRNA",430.486146926723,-0.0258744501116081,0.052780806398975,-0.490224607711007,0.623974969608649,0.794464663107823
"gi|301171344|ref|NM_001193414.1| Homo sapiens tubulin, alpha 8 (TUBA8), transcript variant 2, mRNA",413.886214666817,0.0483537810962347,0.067423792196244,0.717161991652679,0.473274148576866,0.689628045069148
"gi|156071510|ref|NM_017414.3| Homo sapiens ubiquitin specific peptidase 18 (USP18), mRNA",415.944955557545,0.0921400979236154,0.0624820303279968,1.47466555487922,0.140302480977323,0.308174106083583
