"Data"	"t_value"	"FDR"	"pvalue"
gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA	c(t = -0.381292339859564)	0.946426178947452	0.707127282077879
gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA	c(t = 0.312529010530875)	0.946426178947452	0.758071938938163
gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA	c(t = 1.10473052811996)	0.75025004292413	0.281222260642967
gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA	c(t = 0.453860518099641)	0.932429456938785	0.654471812346897
gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA	c(t = -0.943429706283699)	0.821210166799461	0.35954910980712
gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA	c(t = -0.158678212475673)	0.962015799031246	0.875748033985648
gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA	c(t = 0.533858603292945)	0.914839559570677	0.598853491691821
gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA	c(t = 0.750548053288935)	0.883629920587992	0.462414414332676
gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA	c(t = 0.133249667054442)	0.965272123557641	0.895380887997529
gi|51093855|ref|NM_033070.2| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 2, mRNA	c(t = -0.157610257832253)	0.962015799031246	0.876267954975186
gi|213512645|ref|NR_024482.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 2, non-coding RNA	c(t = 2.28741915503125)	0.349994961055526	0.0330993483309954
gi|29029551|ref|NM_177405.1| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 2, mRNA	c(t = 1.76223511382729)	0.506585288196742	0.0945446259876089
