"","row.names.Xald.","rab.all","rab.win.1","rab.win.2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA","gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA",-0.789666542920195,-0.549615257185431,-0.810811791288249,-0.455314171175172,2.2555988560638,-0.19670941912217,0.38881666147623,0.354766240150831,0.789242737117462,0.366270497153271,0.788848963866632
"gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA","gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA",-1.69517524659291,-1.67219105397701,-1.75755547588504,0.29814317534585,2.39058011183797,0.113673915141717,0.446614590962869,0.713500011636147,0.928796119802664,0.704458988312804,0.918398814385673
"gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA","gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA",-0.156891403770068,0.10682552957129,-0.919680919350034,-0.42002764393744,2.43396279824363,-0.168383638059083,0.423177094449683,0.763035160189217,0.940840418686516,0.505876481192283,0.85994557970249
"gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA","gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA",-1.04266062441882,-0.429841191617265,-1.58933707372427,-0.968875081814625,2.66297224809902,-0.304687183157206,0.390117051380802,0.288065898523169,0.745420606207575,0.335510304555285,0.767655273913131
"gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA","gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA",0.580621735905383,0.541092835995295,0.749017383477809,0.607223347152828,2.54253158121539,0.175623126364387,0.368489603294707,0.199226003525727,0.675132230329119,0.292588397960399,0.740565743630442
"gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA","gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA",-0.692589517951737,-0.640861978994629,-0.692589517951737,-0.275497511324946,2.41280863562295,-0.11358400134584,0.445312507820074,0.654787745405896,0.914164730927057,0.757431038556947,0.933655354246515
"gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA","gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA",-0.92833409122647,-1.15221222082273,-0.840425293563864,0.58691849252966,1.49291117546407,0.31702254141562,0.365885437084007,0.361900294593875,0.793297095363927,0.268673513565785,0.71717401460168
"gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA","gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA",-0.248654856312498,-0.0203626076545609,-0.49247674791558,-0.497668933603738,2.56041444146726,-0.144438878445067,0.403120950465384,0.338140564178066,0.779721228698015,0.515512563115811,0.862795427040903
"gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA","gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA",-0.201984424218653,0.130821341377771,-0.235076552665291,0.211974188397376,1.9460955597554,0.0942713715434376,0.460338107054887,0.336931886354326,0.779678279345592,0.679083198694898,0.910566175998957
"gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA","gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA",0.0621149555864822,0.0667869070305214,0.0607433322145168,0.125733465349133,2.12344203451758,0.0543040133696236,0.478543566098093,0.874661299937793,0.963898746694094,0.865838760088175,0.966117952967961
"gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA","gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA",0.149427902493449,0.621407603028893,0.116676095281085,-0.337421192980682,2.09592887206055,-0.150148103695958,0.426527968969526,0.600714190684336,0.899034619416728,0.532679969045795,0.869123921240361
"gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA","gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA",2.06579354671434,2.24100357772377,1.63932935694456,-0.335533542822664,2.7355129937184,-0.131040182202335,0.451822923537152,0.461982010193606,0.843088214353306,0.711386542603311,0.918275670555264
"gi|251823729|ref|NM_001163079.1| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 2, mRNA","gi|251823729|ref|NM_001163079.1| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 2, mRNA",0.74525293002467,0.627529790209952,1.02636943573982,0.129999965613657,2.37154051121203,0.0329462032538935,0.484375002209736,0.682662456583845,0.924420059275662,0.887094554641078,0.972355082524396
"gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA","gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA",1.8632316871932,1.86246591646317,1.92729380407663,0.047618170242214,2.13574621940681,0.0145769254846885,0.490885417954849,0.895552534801506,0.968094375649206,0.798618369742722,0.945390464558602
"gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA","gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA",0.305275402168999,0.188691181582541,0.524590356424228,0.541169841895259,3.48354375706016,0.161339189373509,0.403645847471784,0.268815741743367,0.731824556498007,0.412897568594415,0.817743618331566
