"Data"	"t_value"	"FDR"	"pvalue"
gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA	c(t = 1.4921941051876)	0.473194833744623	0.151407368852299
gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA	c(t = 1.12005180777786)	0.625686191377406	0.275225737150792
gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA	c(t = 0.218651445293914)	0.930308704817503	0.829158857857257
gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA	c(t = -0.39601593154036)	0.882710789334543	0.695957669520994
gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA	c(t = -1.99259455630675)	0.313006601680801	0.0589930633092877
gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA	c(t = 0.860340397428603)	0.721870699337853	0.39994053966359
gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA	c(t = -0.457476886888504)	0.858961323563125	0.651870464894555
gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA	c(t = -1.92038194840727)	0.322716179750497	0.0678698750798698
gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA	c(t = -0.632000394139492)	0.805328469453359	0.534434113670723
gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA	c(t = -0.81256079049046)	0.745097803071553	0.426418225197723
gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA	c(t = 0.0230279753404009)	0.996098240567252	0.981835870166555
gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA	c(t = -2.48712466329819)	0.154661894469759	0.0209511546541987
gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA	c(t = -0.488333808626058)	0.853974716781457	0.630171452987463
gi|51093855|ref|NM_033070.2| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 2, mRNA	c(t = -1.49608421359761)	0.46931837596136	0.149296104377358
gi|213512664|ref|NR_024483.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 1, non-coding RNA	c(t = -0.144634299088227)	0.956596089887211	0.886360709649707
gi|213512645|ref|NR_024482.1| Homo sapiens CECR5 antisense RNA 1 (CECR5-AS1), transcript variant 2, non-coding RNA	c(t = -0.513225381128067)	0.850410838453848	0.61418049683109
gi|29029551|ref|NM_177405.1| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 2, mRNA	c(t = 0.199644268404344)	0.937976463348528	0.843750517258721
gi|345525396|ref|NR_038398.2| Homo sapiens cat eye syndrome chromosome region, candidate 3 (non-protein coding) (CECR3), non-coding RNA	c(t = -7.61776707569925)	1.33118134240721e-05	7.90198970378711e-07
gi|270132321|ref|NM_031413.3| Homo sapiens cat eye syndrome chromosome region, candidate 2 (CECR2), mRNA	c(t = -0.553238094531837)	0.832154628733319	0.587745184853276
gi|13899341|ref|NM_031481.1| Homo sapiens solute carrier family 25 (glutamate carrier), member 18 (SLC25A18), mRNA	c(t = 10.4308195968315)	1.23432031707636e-07	1.87872194379963e-09
gi|87159815|ref|NM_001039366.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 2, mRNA	c(t = -0.874986788490489)	0.711666297084675	0.391037341320499
gi|87159817|ref|NM_001039367.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 3, mRNA	c(t = 0.563354949497688)	0.825205892580481	0.578898594839563
gi|87159814|ref|NM_001696.3| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 1, mRNA	c(t = 8.25997402956067)	8.50742428348409e-07	3.62569071442244e-08
gi|398775379|ref|NM_001270731.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 7, mRNA	c(t = 0.448374861537122)	0.859475510095025	0.659323678977006
gi|398775088|ref|NM_001270729.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 5, mRNA	c(t = -2.33332130701327)	0.191830342196558	0.0291979211866906
gi|398775598|ref|NM_001270732.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 8, mRNA	c(t = -0.644697507844943)	0.798782153851035	0.525810777432303
gi|398774965|ref|NM_001270728.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 4, mRNA	c(t = -0.43275660559335)	0.866059620051144	0.669647316569225
gi|398774790|ref|NM_001270727.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 3, mRNA	c(t = -0.623999874841107)	0.807398550060791	0.539278418057655
gi|398774358|ref|NM_001270733.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 9, mRNA	c(t = 0.465640600639899)	0.858961323563125	0.646062003014971
gi|347300409|ref|NM_001244567.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 4, mRNA	c(t = -1.47556337754205)	0.480187335545133	0.154946293965857
gi|347300417|ref|NM_001244570.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 6, mRNA	c(t = 0.205655647117411)	0.934977023630839	0.83962929062739
gi|347300412|ref|NM_197967.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 3, mRNA	c(t = -2.3391739476645)	0.200695770424732	0.0317691934918906
gi|347300415|ref|NM_001244569.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 5, mRNA	c(t = 0.233327569043746)	0.930308704817503	0.817924644297774
gi|347300411|ref|NM_001196.3| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 2, mRNA	c(t = 10.1687347635082)	1.65440399619672e-07	4.78442555977743e-09
gi|347300422|ref|NM_001244572.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 7, mRNA	c(t = 2.1395299695949)	0.256453039654173	0.0441083614625898
gi|347300421|ref|NM_197966.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 1, mRNA	c(t = -1.14623138513168)	0.618011600537383	0.264472718188294
