"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA",125.538960078338,-0.362255375012216,0.529045246210291,-0.684734202995224,0.493511661792663,0.830647820456639
"gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA",119.667503737034,0.700027230480628,0.563215035382128,1.24291289561486,0.213899933128711,0.599684925988033
"gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA",322.782514534406,-0.681332136818681,0.591022084666934,-1.15280317689421,0.248991180141394,0.656253124110472
"gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA",187.900514284494,-0.602893204062882,0.614917627289995,-0.980445473192718,0.326866272631037,0.712185277651705
"gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA",425.237213662636,0.612143635454125,0.628237194479148,0.974382989153698,0.329866412506785,0.712185277651705
"gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA",162.837544725033,-0.0511896276287624,0.559379342580821,-0.0915114730418675,0.927086190319729,0.981499682433301
"gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA",147.516549545168,-0.139474201846436,0.493663712926617,-0.282528770485444,0.777538089104766,0.926677113446404
"gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA",242.046525138995,-0.126573686711598,0.601980790817588,-0.210262002778678,0.833463189750342,0.952825913064525
"gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA",243.855164632747,0.125858063240536,0.504419484173838,0.249510709219872,0.802965758051655,0.93662333658376
"gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA",286.134946187171,0.286250805750398,0.488734613938771,0.585697835975782,0.558078588582303,0.847457923026066
