"","row.names.Xald.","rab.all","rab.win.1","rab.win.2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA","gi|424037187|ref|NR_073460.1| Homo sapiens ribosome biogenesis protein BMS1 homolog pseudogene (LOC101101776), non-coding RNA",-1.62422115729539,-1.553443056337,-1.69753642873741,-0.142927139442711,0.393812949031505,-0.344534990533787,0.336801066051935,0.199357380259202,0.370609669320865,0.218922558461864,0.38576777815843
"gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA","gi|424037186|ref|NR_073459.1| Homo sapiens long intergenic non-protein coding RNA 516 (LINC00516), non-coding RNA",-1.57194448338655,-1.51481583994385,-1.60982100236567,-0.0886129415117711,0.399712138341277,-0.211120844214054,0.398437514966783,0.337078790920164,0.520623299448345,0.439520795721475,0.609495062497643
"gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA","gi|209977002|ref|NM_001136213.1| Homo sapiens POTE ankyrin domain family, member H (POTEH), mRNA",-0.141594200025654,-0.153085072346914,-0.129207217113176,0.0149272499714277,0.198627115541466,0.0612165878348356,0.470741226503959,0.695075158764447,0.819549474810334,0.717041264446282,0.831218905022848
"gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA","gi|52546690|ref|NM_001005239.1| Homo sapiens olfactory receptor, family 11, subfamily H, member 1 (OR11H1), mRNA",-1.26139987833533,-1.30736026931081,-1.22766794589591,0.0464618451029617,0.364480371715233,0.118090343009404,0.451235377548979,0.674978168552927,0.808489633389357,0.607099561517531,0.757489667302864
"gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA","gi|51093856|ref|NM_014406.4| Homo sapiens chaperonin containing TCP1, subunit 8 (theta)-like 2 (CCT8L2), mRNA",-0.0790309493517949,-0.142952429886201,-0.000751230861061103,0.132191673903173,0.251555557221311,0.499232776869652,0.289062536254883,0.0989404099792648,0.216142511641512,0.115631943016601,0.245020174598149
"gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA","gi|40445391|ref|NR_001591.1| Homo sapiens transmembrane phosphatase with tensin homology pseudogene 1 (TPTEP1), non-coding RNA",-0.566958225175446,-0.551159438700468,-0.579596092844338,-0.0451095609343346,0.260872754980838,-0.153031086574767,0.425781260722246,0.475812492632082,0.644501652046514,0.58730765948784,0.729637648138041
"gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA","gi|338970360|ref|NR_040115.1| Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA",-0.524035905796985,-0.557652391692725,-0.49434053335695,0.0369033673444115,0.249957507081009,0.127700164464661,0.438231478280015,0.630664860113991,0.768342561483546,0.583744151594804,0.733894098559136
"gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA","gi|103471990|ref|NM_175878.3| Homo sapiens XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA",-0.344612982168266,-0.423980696006569,-0.266151587850405,0.129499317454812,0.285814047294408,0.460617645498946,0.305989615602544,0.119741061059694,0.251061913373094,0.135006934696075,0.276307288580333
"gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA","gi|151301122|ref|NR_003607.1| Homo sapiens heat shock transcription factor, Y-linked 1 pseudogene 1 (HSFY1P1), non-coding RNA",-0.692591903121746,-0.739060535400657,-0.664096690383683,0.0591518114946119,0.301120723744542,0.182896602400475,0.420572928179032,0.591595502896831,0.744889564236799,0.580561284648519,0.734679221190199
"gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA","gi|83716020|ref|NM_001037814.1| Homo sapiens GRB2-associated binding protein family, member 4 (GAB4), mRNA",0.239329021773241,0.215430159514092,0.275058936746792,0.0459268290871213,0.184116659308919,0.234575398089212,0.395318611006384,0.497100167992661,0.660718128825592,0.456169289743269,0.627606948937967
"gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA","gi|168229201|ref|NR_015352.1| Homo sapiens cat eye syndrome chromosome region, candidate 7 (non-protein coding) (CECR7), non-coding RNA",0.296316314791177,0.292353943847361,0.30063898145662,0.00235974849986409,0.161497665398543,0.0162446382780577,0.496093750551928,0.696278554282271,0.819191446505075,0.684181993845769,0.810084346525274
"gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA","gi|411147377|ref|NM_014339.6| Homo sapiens interleukin 17 receptor A (IL17RA), mRNA",1.95883658659163,1.93817288336181,1.98487324605881,0.0532362132687183,0.0960867628902182,0.541524802602978,0.270833374321488,0.0711582005203967,0.154283685701485,0.111524902548152,0.214214390822748
"gi|251823729|ref|NM_001163079.1| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 2, mRNA","gi|251823729|ref|NM_001163079.1| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 2, mRNA",0.824777880176964,0.806370425987332,0.855624928993596,0.0508506163313855,0.158854318414961,0.304300029368114,0.363281270877258,0.20087143146238,0.360798710878946,0.335774359911189,0.499304100916804
"gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA","gi|251823728|ref|NM_031890.3| Homo sapiens cat eye syndrome chromosome region, candidate 6 (CECR6), transcript variant 1, mRNA",1.1962067522893,1.18082461215139,1.20913576472707,0.0289070228787507,0.136353496115971,0.205639664191621,0.390117051380802,0.450093605895789,0.62378738161012,0.469312207533515,0.62971347417358
"gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA","gi|51093854|ref|NM_017829.5| Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 1, mRNA",-0.388609160925968,-0.413093121738135,-0.361364672992458,0.0375498584854634,0.255180147148478,0.142544913517825,0.438231478280015,0.655325765401545,0.79124205727091,0.64397691229722,0.785118295303581
